edge\op,none,skip_connect,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,
zc pt,3450.967554,3448.211459,3440.79926,3443.240243,3452.989921,2
discrete zc,3434.421701,3437.661196,3418.572637,3397.51709,3424.166157,
alpha,0.1554,0.7029,0.0538,0.0598,0.028,
best-acc,94.05,94.16,94.68,94.56,94.1,
alpha-60,0.1648,0.4853,0.1223,0.1397,0.088,
tenaspt,38.5,16.0,20.0,17.0,27.5,
synflow,1.9460309216168614e+31,8.014786854561015e+30,1.1851807660289746e+30,8.96867143875011e+26,7.75842932776677e+30,
synflow_disc,4.777733726551756e+21, 1.4572459237815469e+26, 3.8590321292364994e+30, 1.8898449210848245e+36, 1.5222938895812008e+26,
best_nwot, 1761.8789642379636,1769.103803678444, 1793.8140278364453, 1792.8239766388833, 1761.9145207476113,
best_synflow,5.776473195639679e+39, 1.4672616553030765e+44, 6.658953754065702e+49, 5.480408193532999e+39, 1.9606567871518125e+35,
zc-pt-post,3067.0476, 3063.1135, 3058.818, 3064.5405, 3070.7593,
zc-disc-post,3061.6133, 3063.294, 3038.05, 3012.938, 3042.5535,
